SKU,Наличност,Бройки,Цена
360947,Наличен,12,10.00
360997,Наличен,3,4.00
360472,Наличен,6,4.00
360473,Наличен,1,4.00
360474,Наличен,81,4.00
360475,Наличен,115,4.00
360476,Наличен,90,4.00
360477,Наличен,57,4.00
360478,Наличен,45,4.00
360956,Наличен,34,9.00
360957,Наличен,13,9.00
360958,Наличен,7,10.00
360959,Наличен,24,10.00
360960,Наличен,36,10.00
360961,Наличен,46,10.00
360962,Наличен,51,10.00
360963,Наличен,40,10.00
360964,Наличен,43,11.50
360965,Наличен,11,11.50
947056,Наличен,5,19.00
947057,Наличен,3,19.00
947058,Изчерпан,0,19.00
947025,Изчерпан,0,36.00
947026,Изчерпан,0,36.00
947027,Изчерпан,0,36.00
947031,Изчерпан,0,33.50
947032,Изчерпан,0,33.50
947033,Изчерпан,0,33.50
947028,Изчерпан,0,36.00
947029,Изчерпан,0,36.00
947030,Изчерпан,0,36.00
949760,Изчерпан,0,37.20
940291,Наличен,4,176.00
942511,Наличен,2,68.40
946036,Наличен,3,46.00
938150,Наличен,5,46.00
938151,Наличен,19,46.00
938152,Наличен,47,46.00
938153,Наличен,15,46.00
946037,Наличен,10,90.00
946034,Изчерпан,0,90.00
946035,Наличен,7,90.00
941130,Наличен,14,90.00
938154,Наличен,5,90.00
938155,Наличен,14,90.00
938156,Наличен,6,90.00
931100,Изчерпан,0,50.00
931101,Наличен,40,50.00
931102,Наличен,30,46.00
934197,Наличен,21,46.00
931103,Наличен,24,46.00
938147,Наличен,30,46.00
931104,Наличен,23,46.00
934198,Наличен,12,46.00
947329,Наличен,23,46.00
947330,Наличен,24,46.00
947331,Наличен,5,46.00
955634,Наличен,9,24.00
930705,Наличен,6,24.00
930706,Изчерпан,0,27.00
930707,Изчерпан,0,29.50
930708,Наличен,3,35.50
930709,Наличен,4,16.50
930710,Изчерпан,0,18.00
930711,Изчерпан,0,19.50
936323,Изчерпан,0,21.50
930712,Изчерпан,0,23.00
930713,Изчерпан,0,27.50
956589,Наличен,43,14.99
945216,Наличен,63,14.99
945217,Наличен,6,14.99
945218,Наличен,56,14.99
945219,Наличен,57,14.99
945220,Наличен,5,14.99
945221,Наличен,15,14.99
945222,Наличен,20,14.99
945223,Наличен,13,14.99
934104,Изчерпан,0,32.20
934105,Наличен,4,29.40
934106,Наличен,12,29.40
934107,Наличен,6,29.40
942398,Изчерпан,0,42.00
942399,Наличен,1,42.00
942400,Наличен,5,38.00
942401,Наличен,18,35.00
942402,Наличен,36,30.90
942403,Наличен,19,30.90
942404,Наличен,16,30.90
942405,Изчерпан,0,30.90
942406,Наличен,11,30.90
942407,Наличен,8,30.90
943729,Наличен,13,52.00
943730,Наличен,20,52.00
943731,Наличен,17,52.00
943732,Наличен,11,52.00
943733,Наличен,2,52.00
951264,Наличен,17,212.00
950715,Изчерпан,0,138.00
375161,Изчерпан,0,58.00
375158,Изчерпан,0,58.00
377909,Изчерпан,0,58.00
375180,Изчерпан,0,58.00
937303,Изчерпан,0,115.00
956049,Наличен,95,105.00
954068,Наличен,2,33.50
954065,Наличен,19,42.00
949207,Наличен,168,105.00
951258,Наличен,111,130.00
925622,Изчерпан,0,9.00
925623,Изчерпан,0,9.00
928387,Наличен,14,13.60
923342,Наличен,25,4.50
925107,Наличен,6,14.00
374420,Наличен,2,3.50
374421,Наличен,57,3.80
376941,Наличен,84,3.50
374179,Изчерпан,0,1.80
374180,Наличен,2,1.90
374181,Изчерпан,0,2.30
374182,Наличен,2,2.30
374183,Наличен,9,2.30
374457,Наличен,19,3.80
374419,Изчерпан,0,4.20
374437,Наличен,1,12.30
374185,Наличен,6,10.50
374130,Наличен,6,12.30
372108,Изчерпан,0,4.30
920461,Наличен,81,4.50
920462,Наличен,29,5.60
376017,Наличен,558,4.00
920347,Наличен,101,12.00
920348,Наличен,93,12.80
374456,Наличен,23,18.20
921152,Наличен,66,83.00
376908,Наличен,3,25.60
376006,Наличен,65,27.50
932566,Наличен,6,10.90
945546,Наличен,1,14.90
944748,Наличен,36,3.60
944747,Наличен,43,3.60
944742,Наличен,49,3.00
944741,Изчерпан,0,3.50
944743,Наличен,6,9.90
944744,Наличен,40,7.00
951291,Наличен,2,24.50
950536,Наличен,3,176.00
931018,Наличен,2,36.30
949585,Наличен,3,100.00
922691,Наличен,2,16.00
927659,Изчерпан,0,21.00
926784,Наличен,7,4.20
922683,Наличен,6,4.10
922685,Наличен,21,10.20
930740,Наличен,18,10.00
921538,Изчерпан,0,9.90
940000,Наличен,7,32.30
940001,Изчерпан,0,36.20
944895,Изчерпан,0,3.90
949781,Изчерпан,0,35.20
944892,Изчерпан,0,31.30
949783,Изчерпан,0,31.30
929767,Наличен,10,1.90
929768,Наличен,30,1.90
929769,Наличен,20,1.90
931487,Наличен,8,3.90
931488,Наличен,30,4.20
931489,Наличен,28,4.30
931490,Наличен,20,4.30
938400,Наличен,28,4.50
936135,Наличен,30,5.20
936136,Наличен,40,5.20
931709,Наличен,20,15.80
376940,Наличен,105,2.20
920871,Наличен,45,2.60
920872,Наличен,19,4.20
374477,Изчерпан,0,1.80
374436,Наличен,1,1.90
374145,Наличен,50,2.20
374146,Наличен,51,1.80
374147,Наличен,10,1.90
374148,Наличен,54,1.90
374149,Наличен,7,2.20
372558,Наличен,70,2.95
372559,Изчерпан,0,2.95
372560,Наличен,20,2.95
372561,Изчерпан,0,2.95
372562,Наличен,5,2.95
372563,Изчерпан,0,2.95
372595,Изчерпан,0,2.95
